repoName,repoLink,repoDescription,repoAuthor,repoAuthorLink,isInactive,isArchived,stars
"chakra-ui","https://github.com/chakra-ui/chakra-ui","Simple, modular and accessible component library for React applications.","@thesegunadebayo","https://twitter.com/thesegunadebayo","","",37948
"Markdown Badges","https://github.com/Ileriayo/markdown-badges","","@ileriayooo","https://twitter.com/ileriayooo","","",13571
"Buzz","https://github.com/chidiwilliams/buzz","Buzz transcribes audio from your computer's microphones to text using OpenAI's Whisper.","@chidiwilliams_","https://twitter.com/@chidiwilliams_","","",12574
"ImageAI","https://github.com/OlafenwaMoses/ImageAI","A python library built to empower developers to build applications and systems with self-contained Computer Vision capabilities.","@OlafenwaMoses","https://twitter.com/OlafenwaMoses","","",8636
"Altair","https://github.com/altair-graphql/altair","A sleek graphQL client app for querying GraphQL servers, like Postman for graphQL. It also comes as a Chrome extension.","@imolorhe","https://twitter.com/imolorhe","","",5139
"danfojs","https://github.com/javascriptdata/danfojs","Danfo.js is an open source, JavaScript library providing high performance, intuitive, and easy to use data structures for manipulating and processing structured data.","@risingodegua","https://twitter.com/risingodegua","","",4802
"zag","https://github.com/chakra-ui/zag","Finite state machines for building accessible design systems and UI components.","@thesegunadebayo","https://twitter.com/thesegunadebayo","","",4062
"Magic Grid","https://github.com/e-oj/Magic-Grid","","@e-oj","https://e-oj.com","","",3144
"IGdm","https://github.com/ifedapoolarewaju/igdm","Multi-platform Desktop application for INSTAGRAM DMs.","@ifedapolarewaju","https://twitter.com/ifedapolarewaju","","",1959
"iShell","https://github.com/abiosoft/ishell","Library for creating interactive CLI applications with Go.","@abiosoft","https://twitter.com/abiosoft","","",1696
"Laravel Hackathon Starter","https://github.com/unicodeveloper/laravel-hackathon-starter","A hackathon/MVP boilerplate for laravel web applications. Start your hackathons without hassle.","@unicodeveloper","https://twitter.com/unicodeveloper","","",1639
"Composer-git-hook","https://github.com/BrainMaestro/composer-git-hooks","Easily manage git hooks in your composer config.","@BrainMaestro","https://twitter.com/BrainMaestro","","",1052
"Time","https://github.com/kizitonwose/Time","Type-safe time calculations in Kotlin, powered by generics.","@kizitonwose","https://github.com/kizitonwose","","",975
"PyFCM","https://github.com/olucurious/PyFCM","Python client for FCM - Firebase Cloud Messaging (Android & iOS).","@olucurious","https://twitter.com/olucurious","","",805
"Bob","https://github.com/stephenafamo/bob","SQL Query Builder for Go that can be progressively adopted from raw SQL query strings, to fully typed queries and models generated for your database.","@stephenafamo","https://twitter.com/stephenafamo","","",794
"WatchDog","https://github.com/IzyPro/WatchDog","WatchDog is a Realtime HTTP (Request & Response) and Exception logger and viewer for ASP.Net Core Web Apps and APIs.","@IzyPro_","https://twitter.com/IzyPro_","","",784
"caddy-docker","https://github.com/abiosoft/caddy-docker","Docker image for Caddy web server.","@abiosoft","https://twitter.com/abiosoft","","",771
"Slideview","https://github.com/MAXDeliveryNG/slideview","An awesome sliding button library for Android.","@kizitonwose","https://twitter.com/kizitonwose",true,"",732
"DownloadThisVideo","https://github.com/shalvah/DownloadThisVideo","Twitter bot for easily downloading videos/GIFs off tweets.","@theshalvah","https://twitter.com/theshalvah","",true,664
"STX","https://github.com/lamarrr/STX","C++17 & C++ 20 error-handling an utility.","@basit_ayantunde","https://twitter.com/basit_ayantunde","","",630
